Frequency(GHz),Substrate_Height(mm),Dielectric_Constant,Patch_Length(mm),Patch_Width(mm),Substrate_Length(mm),Substrate_Width(mm)
1.1837,1.4474,5.5714,53.5738,69.9108,62.258,78.595
1.1837,1.4474,6.2857,50.4594,66.3954,59.1436,75.0797
1.1837,1.4474,7.0,47.8318,63.3621,56.516,72.0463
1.1837,1.4474,7.7143,45.576,60.7098,54.2603,69.394
1.1837,1.4474,8.4286,43.6118,58.3649,52.296,67.0491
1.1837,1.4474,9.1429,41.8812,56.2722,50.5655,64.9564
1.1837,1.4474,9.8571,40.3413,54.3897,49.0255,63.0739
1.1837,1.4474,10.5714,38.9594,52.6843,47.6436,61.3685
1.1837,1.4474,11.2857,37.7101,51.1298,46.3943,59.814
1.1837,1.4474,12.0,36.5735,49.7053,45.2577,58.3895
1.1837,1.6842,2.0,88.7514,103.4698,98.8567,113.5751
1.1837,1.6842,2.7143,76.3846,92.9901,86.4899,103.0954
1.1837,1.6842,3.4286,68.0721,85.1613,78.1773,95.2666
1.1837,1.6842,4.1429,61.9928,79.0264,72.0981,89.1316
1.1837,1.6842,4.8571,57.2975,74.0511,67.4027,84.1563
1.1837,1.6842,5.5714,53.5294,69.9108,63.6346,80.0161
1.1837,1.6842,6.2857,50.4184,66.3954,60.5237,76.5007
1.1837,1.6842,7.0,47.7932,63.3621,57.8985,73.4673
1.1837,1.6842,7.7143,45.5391,60.7098,55.6444,70.815
1.1837,1.6842,8.4286,43.576,58.3649,53.6813,68.4701
1.1837,1.6842,9.1429,41.8462,56.2722,51.9514,66.3775
1.1837,1.6842,9.8571,40.3067,54.3897,50.4119,64.495
1.1837,1.6842,10.5714,38.925,52.6843,49.0303,62.7895
1.1837,1.6842,11.2857,37.6758,51.1298,47.7811,61.2351
1.1837,1.6842,12.0,36.5391,49.7053,46.6444,59.8106
1.1837,1.9211,2.0,88.6151,103.4698,100.1414,114.9961
1.1837,1.9211,2.7143,76.2893,92.9901,87.8156,104.5164
1.1837,1.9211,3.4286,67.9975,85.1613,79.5239,96.6877
1.1837,1.9211,4.1429,61.9303,79.0264,73.4566,90.5527
1.1837,1.9211,4.8571,57.2424,74.0511,68.7687,85.5774
1.1837,1.9211,5.5714,53.4792,69.9108,65.0055,81.4371
1.1837,1.9211,6.2857,50.3715,66.3954,61.8978,77.9218
1.1837,1.9211,7.0,47.7485,63.3621,59.2748,74.8884
1.1837,1.9211,7.7143,45.4958,60.7098,57.0221,72.2361
1.1837,1.9211,8.4286,43.5337,58.3649,55.06,69.8912
1.1837,1.9211,9.1429,41.8045,56.2722,53.3308,67.7986
1.1837,1.9211,9.8571,40.2654,54.3897,51.7917,65.916
1.1837,1.9211,10.5714,38.8838,52.6843,50.4101,64.2106
1.1837,1.9211,11.2857,37.6346,51.1298,49.1609,62.6561
1.1837,1.9211,12.0,36.4979,49.7053,48.0242,61.2316
